Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,Pkatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
Luccas Claro,BRA,DF,30,10,4,464.0,5.155555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,9.0,0.0,2,0,0.0,0.3846153846153846,0.0,0.0,,9.2,0,0,0.1,-0.2,-0.2,183,236,77.54237288135593,3536,1431,67,71,94.36619718309859,87,111,78.37837837837837,24,44,54.54545454545454,0.0,0.0,0,9,0,0,225,11,0,2,0,0,0,0,0,0,0,3
Mario Pineida,ECU,DF,29,7,4,332.0,3.688888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.0,18.0,18.0,1,0,0.0,0.27027027027027023,0.0,0.0,,25.9,0,0,0.0,0.0,0.0,184,217,84.7926267281106,2492,832,105,111,94.5945945945946,64,78,82.05128205128204,6,13,46.15384615384615,0.6,-0.2,3,7,3,0,179,38,1,0,9,35,0,0,0,0,0,3
Willian,BRA,FW,35,28,3,474.0,5.266666666666667,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,0.5,2.0,8.0,14.0,36.0,11,8,72.72727272727273,2.0754716981132075,1.509433962264151,0.2727272727272727,0.375,18.3,1,0,0.13636363636363635,1.5,1.5,141,173,81.5028901734104,1840,337,88,100,88.0,35,38,92.10526315789474,6,11,54.54545454545454,0.6,0.5,6,10,1,0,159,13,1,0,8,4,5,3,2,0,1,4
Marlon,BRA,DF,24,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,7.0,13.0,2,0,0.0,0.6666666666666666,0.0,0.0,,22.1,0,0,0.05,-0.1,-0.1,75,123,60.97560975609756,1161,351,46,53,86.79245283018868,23,38,60.526315789473685,5,24,20.833333333333336,0.2,-0.1,2,5,2,1,95,27,0,3,15,19,6,1,4,0,1,2
Alexsander,BRA,DF,18,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,9.0,11.0,11.0,2,1,50.0,0.8,0.4,0.0,0.0,31.6,0,0,0.0,0.0,0.0,115,138,83.33333333333334,1526,596,64,73,87.67123287671232,34,42,80.95238095238095,4,6,66.66666666666666,0.1,-0.1,4,8,2,1,119,19,0,2,5,17,0,0,0,0,0,1
Fred,BRA,FW,38,6,1,129.0,1.4333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,2.0,4.0,14.0,8,2,25.0,5.714285714285714,1.4285714285714286,0.125,0.5,18.7,1,0,0.0625,0.5,0.5,32,44,72.72727272727273,338,88,22,26,84.61538461538461,6,11,54.54545454545454,0,1,0.0,0.1,0.0,1,3,1,0,41,3,0,0,1,0,0,0,0,0,0,2
Marrony,BRA,FW,22,10,0,178.0,1.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0.2,0.6000000000000001,12.0,8.0,15.0,7,1,14.285714285714285,3.5,0.5,0.0,0.0,16.7,0,0,0.05714285714285715,-0.4,-0.4,69,90,76.66666666666667,861,172,47,55,85.45454545454545,16,22,72.72727272727273,2,3,66.66666666666666,0.2,-0.2,2,4,3,1,89,1,1,0,5,0,0,0,0,0,0,5
John Kennedy,BRA,FW,19,6,0,141.0,1.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.4,1.5,0.0,1.0,15.0,10,4,40.0,6.25,2.5,0.0,0.0,13.8,0,0,0.11000000000000001,-1.1,-1.1,19,28,67.85714285714286,234,19,13,16,81.25,4,6,66.66666666666666,0,0,,0.0,-0.4,2,0,0,0,23,4,0,0,1,1,0,0,0,0,1,2
David Duarte,BRA,DF,27,4,0,84.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0,,0.0,0.0,,,,0,0,,0.0,0.0,34,46,73.91304347826086,530,193,18,23,78.26086956521739,11,17,64.70588235294117,3,3,100.0,0.0,0.0,0,5,0,0,44,2,0,0,0,1,0,0,0,0,0,1
Michel Araujo,URU,FW,25,8,0,83.0,0.9222222222222223,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,6.0,6.0,9.0,2,2,100.0,2.2222222222222223,2.2222222222222223,1.0,1.0,10.6,0,0,0.4,1.2,1.2,70,85,82.35294117647058,938,184,43,44,97.72727272727273,19,28,67.85714285714286,2,4,50.0,0.7,2.2,4,2,2,1,82,3,1,0,7,2,0,0,0,0,0,3
Alexandre Jesus,BRA,MF,20,5,0,66.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,11.0,1,0,0.0,1.4285714285714286,0.0,0.0,,16.9,0,0,0.0,0.0,0.0,20,34,58.82352941176471,220,23,17,20,85.0,2,6,33.33333333333333,0,2,0.0,0.1,-0.1,1,1,0,0,28,5,0,0,5,5,0,0,0,0,1,4
Alan Carvalho,CHN,FW,32,4,0,36.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,1,1,100.0,2.5,2.5,1.0,1.0,3.4,0,0,0.1,0.9,0.9,13,13,100.0,125,22,8,8,100.0,3,3,100.0,0,0,,0.0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
